gene	SRX026633	SRX026632	SRX026631	SRX026630
ENSMUSG00000000001	842	765	437	221
ENSMUSG00000000003	0	0	0	0
ENSMUSG00000000028	42	60	10	17
ENSMUSG00000000031	0	0	0	0
ENSMUSG00000000037	0	0	0	0
ENSMUSG00000000049	1	0	0	1
ENSMUSG00000000056	20	13	14	2
ENSMUSG00000000058	1	8	0	0
ENSMUSG00000000078	1505	1380	795	449
ENSMUSG00000000085	0	0	0	0
ENSMUSG00000000088	160	277	34	46
ENSMUSG00000000093	0	1	1	0
ENSMUSG00000000094	0	0	0	0
ENSMUSG00000000103	0	0	0	0
ENSMUSG00000000120	0	0	0	0
ENSMUSG00000000125	0	0	0	0
ENSMUSG00000000126	9	37	9	13
ENSMUSG00000000127	187	254	139	100
ENSMUSG00000000131	409	528	214	198
ENSMUSG00000000134	0	0	0	0
ENSMUSG00000000142	0	0	0	0
ENSMUSG00000000148	0	0	0	0
ENSMUSG00000000149	278	400	213	211
ENSMUSG00000000154	0	0	0	0
ENSMUSG00000000157	0	0	0	0
ENSMUSG00000000159	0	1	0	0
ENSMUSG00000000167	0	1	0	0
ENSMUSG00000000168	4	0	2	0
ENSMUSG00000000171	414	563	185	151
ENSMUSG00000000182	0	0	0	0
ENSMUSG00000000183	0	0	0	0
ENSMUSG00000000184	16	70	14	31
ENSMUSG00000000194	0	0	0	0
ENSMUSG00000000197	0	0	0	0
ENSMUSG00000000202	0	0	0	0
ENSMUSG00000000204	0	0	0	0
ENSMUSG00000000214	0	0	0	0
ENSMUSG00000000215	0	0	0	0
ENSMUSG00000000216	0	0	0	0
ENSMUSG00000000223	0	2	1	1
ENSMUSG00000000244	0	0	0	0
ENSMUSG00000000247	0	0	0	0
ENSMUSG00000000248	0	0	0	0
ENSMUSG00000000253	8	8	1	2
ENSMUSG00000000263	0	1	0	0
ENSMUSG00000000266	0	0	0	0
ENSMUSG00000000275	34	28	13	12
ENSMUSG00000000276	24	23	20	3
ENSMUSG00000000278	1200	1419	550	405
ENSMUSG00000000282	6	9	0	1
ENSMUSG00000000290	0	0	0	0
ENSMUSG00000000295	0	0	0	0
ENSMUSG00000000296	41	14	27	3
ENSMUSG00000000301	0	0	0	0
ENSMUSG00000000303	0	0	0	1
ENSMUSG00000000305	0	0	0	0
ENSMUSG00000000308	0	0	0	0
ENSMUSG00000000317	1	0	0	2
ENSMUSG00000000318	0	0	0	0
ENSMUSG00000000320	0	0	1	0
ENSMUSG00000000325	0	0	0	0
ENSMUSG00000000326	105	146	46	62
ENSMUSG00000000339	0	0	0	0
ENSMUSG00000000340	65	79	29	24
ENSMUSG00000000346	801	715	416	276
ENSMUSG00000000355	0	0	0	0
ENSMUSG00000000359	0	0	0	0
ENSMUSG00000000365	0	0	0	0
ENSMUSG00000000374	196	323	125	118
ENSMUSG00000000378	0	0	0	0
ENSMUSG00000000381	0	0	0	0
ENSMUSG00000000384	0	0	0	0
ENSMUSG00000000385	0	0	0	0
ENSMUSG00000000386	0	0	0	0
ENSMUSG00000000392	0	0	0	0
ENSMUSG00000000394	0	0	0	0
ENSMUSG00000000399	469	634	196	229
ENSMUSG00000000402	0	0	0	0
ENSMUSG00000000409	0	0	0	0
ENSMUSG00000000411	0	0	0	0
ENSMUSG00000000416	0	0	0	0
ENSMUSG00000000420	598	810	353	310
ENSMUSG00000000435	611	181	303	63
ENSMUSG00000000439	51	89	16	26
ENSMUSG00000000440	91	183	66	65
ENSMUSG00000000441	0	0	0	0
ENSMUSG00000000486	0	0	0	0
ENSMUSG00000000489	73	18	39	14
ENSMUSG00000000530	0	0	0	0
ENSMUSG00000000531	24	45	13	15
ENSMUSG00000000532	34	50	21	15
ENSMUSG00000000538	0	0	0	0
ENSMUSG00000000544	1	0	0	2
ENSMUSG00000000552	295	88	205	45
ENSMUSG00000000555	1294	1241	1023	712
ENSMUSG00000000560	0	0	0	0
ENSMUSG00000000561	0	0	0	0
ENSMUSG00000000562	0	0	0	0
ENSMUSG00000000563	0	0	0	0
ENSMUSG00000000567	348	549	218	269
ENSMUSG00000000568	1196	1812	796	697
ENSMUSG00000000579	0	0	0	0
